t,v
3.530000000000023164e+01,-1.010000000000000009e+00
3.540000000000023306e+01,-9.699999999999999734e-01
3.550000000000023448e+01,-9.000000000000000222e-01
3.560000000000023590e+01,-8.199999999999999512e-01
3.570000000000023732e+01,-8.199999999999999512e-01
3.580000000000023874e+01,-7.399999999999999911e-01
3.590000000000024016e+01,-6.500000000000000222e-01
3.600000000000024158e+01,-7.099999999999999645e-01
3.610000000000024301e+01,-7.199999999999999734e-01
3.620000000000024443e+01,-7.500000000000000000e-01
3.630000000000024585e+01,-6.999999999999999556e-01
3.640000000000024727e+01,-6.199999999999999956e-01
3.650000000000024869e+01,-5.899999999999999689e-01
3.660000000000025011e+01,-5.500000000000000444e-01
3.670000000000025153e+01,-5.300000000000000266e-01
3.680000000000025295e+01,-5.100000000000000089e-01
3.690000000000025437e+01,-5.000000000000000000e-01
3.700000000000025580e+01,-4.199999999999999845e-01
3.710000000000025722e+01,-2.999999999999999889e-01
3.720000000000025864e+01,-2.099999999999999922e-01
3.730000000000026006e+01,-1.000000000000000056e-01
3.740000000000026148e+01,-2.999999999999999889e-02
3.750000000000026290e+01,-1.000000000000000021e-02
3.760000000000026432e+01,5.000000000000000278e-02
3.770000000000026574e+01,1.499999999999999944e-01
3.780000000000026716e+01,2.899999999999999800e-01
3.790000000000026859e+01,4.000000000000000222e-01
3.800000000000027001e+01,4.799999999999999822e-01
3.810000000000027143e+01,6.199999999999999956e-01
3.820000000000027285e+01,8.199999999999999512e-01
3.830000000000027427e+01,1.040000000000000036e+00
3.840000000000027569e+01,1.250000000000000000e+00
3.850000000000027711e+01,1.449999999999999956e+00
3.860000000000027853e+01,1.649999999999999911e+00
3.870000000000027995e+01,1.659999999999999920e+00
3.880000000000028137e+01,1.800000000000000044e+00
3.890000000000028280e+01,1.770000000000000018e+00
3.900000000000028422e+01,1.780000000000000027e+00
3.910000000000028564e+01,1.739999999999999991e+00
3.920000000000028706e+01,1.750000000000000000e+00
3.930000000000028848e+01,1.780000000000000027e+00
3.940000000000028990e+01,1.889999999999999902e+00
3.950000000000029132e+01,1.969999999999999973e+00
3.960000000000029274e+01,1.979999999999999982e+00
3.970000000000029416e+01,2.060000000000000053e+00
3.980000000000029559e+01,1.949999999999999956e+00
3.990000000000029701e+01,1.929999999999999938e+00
4.000000000000029843e+01,1.889999999999999902e+00
4.010000000000029985e+01,1.860000000000000098e+00
4.020000000000030127e+01,1.889999999999999902e+00
4.030000000000030269e+01,1.929999999999999938e+00
4.040000000000030411e+01,1.860000000000000098e+00
4.050000000000030553e+01,1.860000000000000098e+00
4.060000000000030695e+01,1.820000000000000062e+00
4.070000000000030838e+01,1.750000000000000000e+00
4.080000000000030980e+01,1.780000000000000027e+00
4.090000000000031122e+01,1.860000000000000098e+00
4.100000000000031264e+01,1.899999999999999911e+00
4.110000000000031406e+01,1.879999999999999893e+00
4.120000000000031548e+01,1.850000000000000089e+00
4.130000000000031690e+01,1.800000000000000044e+00
4.140000000000031832e+01,1.770000000000000018e+00
4.150000000000031974e+01,1.770000000000000018e+00
4.160000000000032117e+01,1.810000000000000053e+00
4.170000000000032259e+01,1.770000000000000018e+00
4.180000000000032401e+01,1.699999999999999956e+00
4.190000000000032543e+01,1.679999999999999938e+00
4.200000000000032685e+01,1.790000000000000036e+00
4.210000000000032827e+01,1.760000000000000009e+00
4.220000000000032969e+01,1.780000000000000027e+00
4.230000000000033111e+01,1.790000000000000036e+00
4.240000000000033253e+01,1.820000000000000062e+00
4.250000000000033396e+01,1.879999999999999893e+00
4.260000000000033538e+01,1.790000000000000036e+00
4.270000000000033680e+01,1.649999999999999911e+00
4.280000000000033822e+01,1.729999999999999982e+00
4.290000000000033964e+01,1.709999999999999964e+00
4.300000000000034106e+01,1.629999999999999893e+00
4.310000000000034248e+01,1.659999999999999920e+00
4.320000000000034390e+01,1.610000000000000098e+00
4.330000000000034532e+01,1.610000000000000098e+00
4.340000000000034674e+01,1.659999999999999920e+00
4.350000000000034817e+01,1.679999999999999938e+00
4.360000000000034959e+01,1.659999999999999920e+00
4.370000000000035101e+01,1.709999999999999964e+00
4.380000000000035243e+01,1.719999999999999973e+00
4.390000000000035385e+01,1.709999999999999964e+00
4.400000000000035527e+01,1.689999999999999947e+00
